pargpnme,inctyp,derinc,derinclb,forcen,derincmul,dermthd,splitthresh,splitreldiff,splitaction,extra
sfrk,relative,0.01,0.0,switch,2.0,parabolic,1.0000000000e-05,5.0000000000e-01,smaller,
k33_pp_:1,relative,0.01,0.0,switch,2.0,parabolic,1.0000000000e-05,5.0000000000e-01,smaller,
k_pp_:1,relative,0.01,0.0,switch,2.0,parabolic,1.0000000000e-05,5.0000000000e-01,smaller,
k_pp_:2,relative,0.01,0.0,switch,2.0,parabolic,1.0000000000e-05,5.0000000000e-01,smaller,
k33_pp_:2,relative,0.01,0.0,switch,2.0,parabolic,1.0000000000e-05,5.0000000000e-01,smaller,
k_pp_:3,relative,0.01,0.0,switch,2.0,parabolic,1.0000000000e-05,5.0000000000e-01,smaller,
rch_pp_:0,relative,0.01,0.0,switch,2.0,parabolic,1.0000000000e-05,5.0000000000e-01,smaller,
k33_pp_:3,relative,0.01,0.0,switch,2.0,parabolic,1.0000000000e-05,5.0000000000e-01,smaller,
k_pp_:0,relative,0.01,0.0,switch,2.0,parabolic,1.0000000000e-05,5.0000000000e-01,smaller,
k33_pp_:0,relative,0.01,0.0,switch,2.0,parabolic,1.0000000000e-05,5.0000000000e-01,smaller,
chd,relative,0.01,0.0,switch,2.0,parabolic,1.0000000000e-05,5.0000000000e-01,smaller,
zn_k__multiplier,relative,0.01,0.0,switch,2.0,parabolic,1.0000000000e-05,5.0000000000e-01,smaller,
zn_k33__multiplier,relative,0.01,0.0,switch,2.0,parabolic,1.0000000000e-05,5.0000000000e-01,smaller,
wel,relative,0.01,0.0,switch,2.0,parabolic,1.0000000000e-05,5.0000000000e-01,smaller,
pp_rch__multiplier,relative,0.01,0.0,switch,2.0,parabolic,1.0000000000e-05,5.0000000000e-01,smaller,
